agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1976,6,86.6,30
USGS,05320500,00060,325200,,1976,7,20.8,31
USGS,05320500,00060,325200,,1976,8,11.5,31
USGS,05320500,00060,325200,,1976,9,7.55,30
USGS,05320500,00060,325200,,1976,10,11.0,31
USGS,05320500,00060,325200,,1976,11,13.2,30
USGS,05320500,00060,325200,,1976,12,12.7,31
USGS,05320500,00060,325200,,1977,1,13.9,31
USGS,05320500,00060,325200,,1977,2,13.8,28
USGS,05320500,00060,325200,,1977,3,143.8,31
USGS,05320500,00060,325200,,1977,4,71.0,30
USGS,05320500,00060,325200,,1977,5,55.4,31
USGS,05320500,00060,325200,,1977,6,194.2,30
USGS,05320500,00060,325200,,1977,7,40.5,31
USGS,05320500,00060,325200,,1977,8,16.9,31
USGS,05320500,00060,325200,,1977,9,29.9,30
USGS,05320500,00060,325200,,1977,10,267.6,31
USGS,05320500,00060,325200,,1977,11,198.3,30
USGS,05320500,00060,325200,,1977,12,114.5,31
USGS,05320500,00060,325200,,1978,1,109.8,31
USGS,05320500,00060,325200,,1978,2,79.1,28
USGS,05320500,00060,325200,,1978,3,679.0,31
USGS,05320500,00060,325200,,1978,4,1253.0,30
USGS,05320500,00060,325200,,1978,5,602.2,31
USGS,05320500,00060,325200,,1978,6,1180.0,30
USGS,05320500,00060,325200,,1978,7,652.8,31
USGS,05320500,00060,325200,,1978,8,242.9,31
USGS,05320500,00060,325200,,1978,9,59.8,30
USGS,05320500,00060,325200,,1978,10,26.2,31
USGS,05320500,00060,325200,,1978,11,26.8,30
USGS,05320500,00060,325200,,1978,12,25.5,31
USGS,05320500,00060,325200,,1979,1,17.3,31
USGS,05320500,00060,325200,,1979,2,19.9,28
USGS,05320500,00060,325200,,1979,3,1126.0,31
USGS,05320500,00060,325200,,1979,4,2361.0,30
USGS,05320500,00060,325200,,1979,5,756.4,31
USGS,05320500,00060,325200,,1979,6,426.5,30
USGS,05320500,00060,325200,,1979,7,417.9,31
USGS,05320500,00060,325200,,1979,8,2132.0,31
USGS,05320500,00060,325200,,1979,9,737.1,30
USGS,05320500,00060,325200,,1979,10,240.2,31
USGS,05320500,00060,325200,,1979,11,538.0,30
USGS,05320500,00060,325200,,1979,12,291.2,31
USGS,05320500,00060,325200,,1980,1,167.2,31
USGS,05320500,00060,325200,,1980,2,88.4,29
USGS,05320500,00060,325200,,1980,3,860.8,31
USGS,05320500,00060,325200,,1980,4,1168.0,30
USGS,05320500,00060,325200,,1980,5,332.3,31
USGS,05320500,00060,325200,,1980,6,1127.0,30
USGS,05320500,00060,325200,,1980,7,151.5,31
USGS,05320500,00060,325200,,1980,8,107.6,31
